CODUSU,ANO4,TRIMESTRE,NRO_HOGAR,REALIZADA,REGION,MAS_500,AGLOMERADO,PONDERA,IV1,IV1_ESP,IV2,IV3,IV3_ESP,IV4,IV5,IV6,IV7,IV7_ESP,IV8,IV9,IV10,IV11,IV12_1,IV12_2,IV12_3,II1,II2,II3,II3_1,II4_1,II4_2,II4_3,II5,II5_1,II6,II6_1,II7,II7_ESP,II8,II8_ESP,II9,V1,V2,V21,V22,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19_A,V19_B,IX_TOT,IX_MEN10,IX_MAYEQ10,ITF,DECIFR,IDECIFR,RDECIFR,GDECIFR,PDECIFR,ADECIFR,IPCF,DECCFR,IDECCFR,RDECCFR,GDECCFR,PDECCFR,ADECCFR,PONDIH,VII1_1,VII1_2,VII2_1,VII2_2,VII2_3,VII2_4,TIPO_HOGAR,MATERIAL_TECHUMBRE,DENSIDAD_HOGAR,CONDICION_DE_HABITABILIDAD
TQRMNORPSHLOLMCDEFNFF00852337,2024,1,1,1,41,N,7,179,1,,4,1,,4,1,1,1,,1,1,1,2,2,2,2,4,2,2,0,1,2,2,2,0,2,0,1,,2,,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,0,2,305000,3,3,4,,3,4,152500,4,4,6,,5,5,212,1,2,98,0,0,0,Extendido,Material durable,Medio,regular
TQRMNOPRYHKOKTCDEFNFF00856789,2024,1,1,1,41,N,7,313,1,,3,1,,4,1,1,1,,1,1,1,2,2,2,2,3,1,2,0,1,2,2,2,0,2,0,1,,2,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,0,2,0,12,12,12,,12,12,0,12,12,12,,12,12,0,1,0,2,0,0,0,Extendido,Material durable,Medio,regular
TQTMNORRSHKOKTCDEFNFF00856790,2024,1,1,1,41,N,7,286,1,,2,1,,4,1,1,1,,1,1,1,2,2,2,2,2,1,2,0,1,1,2,2,0,2,0,3,,2,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,0,2,650000,7,7,9,,7,8,325000,8,8,9,,8,9,401,2,0,1,0,0,0,Extendido,Material durable,Medio,regular
TQRMNORRSHKOKTCDEFNFF00856791,2024,1,1,1,41,N,7,306,1,,3,1,,4,1,1,1,,1,1,1,2,2,2,2,3,2,2,0,1,1,2,2,0,2,0,1,,2,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,0,3,525000,6,6,7,,6,7,175000,5,5,7,,5,6,438,2,0,3,0,0,0,Extendido,Material durable,Medio,regular
TQRMNOQTVHKLLLCDEFNFF00856792,2024,1,1,1,41,N,7,361,1,,3,1,,4,1,1,1,,1,1,1,1,2,2,2,3,2,2,0,1,2,2,2,0,2,0,1,,2,,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,0,2,400000,5,5,6,,5,5,200000,6,6,7,,6,7,831,1,0,2,0,0,0,Extendido,Material durable,Medio,regular
TQRMNOSPRHLMNNCDEIIAD00854888,2024,1,1,1,1,S,32,2018,2,,3,1,,2,1,1,1,,1,1,1,1,2,2,2,3,1,2,0,1,2,1,2,0,1,1,2,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,1,0,1,290000,3,,3,3,,2,290000,7,,7,7,,5,2564,1,0,98,0,0,0,Extendido,Material durable,Medio,regular
TQRMNOSPTHLMNNCDEIIAD00854889,2024,1,1,1,1,S,32,5805,1,,6,1,,1,1,1,1,,1,1,1,1,2,2,2,6,4,2,0,1,1,1,2,0,2,0,3,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,4,1,3,0,12,,12,12,,12,0,12,,12,12,,12,0,2,0,98,0,0,0,Unipersonal,Material durable,Medio,regular
TQRMNOTXUHKNNPCDEIIAD00856793,2024,1,1,1,1,S,32,817,1,,5,1,,2,1,1,1,,1,1,1,1,2,2,2,5,1,2,0,1,1,1,2,0,2,0,1,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,0,2,1900000,10,,10,10,,10,950000,10,,10,10,,10,1782,2,0,98,0,0,0,Extendido,Material durable,Medio,regular
TQRMNOSQVHJLMUCDEIIAD00798163,2024,1,1,1,1,S,32,1921,2,,2,1,,9,1,1,1,,1,1,1,1,2,2,2,2,1,2,0,2,2,2,0,0,0,0,2,,2,,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,1,2,2,2,2,2,0,2,0,12,,12,12,,12,0,12,,12,12,,12,0,96,0,98,0,0,0,Extendido,Material durable,Medio,regular
TQRMNORXVHJLNNCDEIIAD00798156,2024,1,1,1,1,S,32,2211,2,,2,1,,2,1,1,1,,1,1,1,1,2,2,2,2,1,2,0,1,2,2,2,0,2,0,1,,1,,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,1,67500,1,,1,1,,1,67500,1,,1,1,,1,2655,1,0,98,0,0,0,Extendido,Material durable,Medio,regular
